event_id,date,year,quarter,day_index,era,product_family,product,event_type,title_en,title_zh,summary_en,summary_zh,importance,node_tier,lifecycle,map_region,map_lane,glyph,pixel_icon,x_hint,y_hint,source_name,source_url,source_kind,coverage_status,confidence,tags
evt-20221130-introducing-chatgpt,2022-11-30,2022,Q4,0,Research Preview,chatgpt_core,ChatGPT,launch,Introducing ChatGPT,ChatGPT 正式誕生,"OpenAI introduced ChatGPT as a free research preview, using a conversational format that could answer follow-up questions, acknowledge mistakes, challenge incorrect premises, and reject inappropriate requests.",OpenAI 以免費研究預覽形式推出 ChatGPT；其對話介面能回答追問、承認錯誤、質疑不實前提並拒絕不當要求。,5,landmark,research_preview,Origin Plaza,0,@,home,220,174,Introducing ChatGPT,https://openai.com/index/chatgpt/,official_launch_post,complete,high,"[""chatgpt_core"",""launch"",""ChatGPT"",""chatgpt"",""research-preview"",""gpt-3.5"",""origin""]"
evt-20221215-conversation-history-begins-rolling-out,2022-12-15,2022,Q4,15,Research Preview,chatgpt_core,Conversation History,feature,Conversation history begins rolling out,對話紀錄開始推出,"OpenAI began rolling out saved conversation history with controls to view, rename, and delete past chats.",OpenAI 開始推出已儲存的對話紀錄，使用者可查看、重新命名與刪除過往聊天。,2,update,active,Origin Plaza,0,@,home,258,165,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""chatgpt_core"",""feature"",""Conversation History"",""chatgpt"",""history"",""conversation-management""]"
evt-20221215-chatgpt-performance-update,2022-12-15,2022,Q4,15,Research Preview,models_reasoning,ChatGPT model,model_update,ChatGPT performance update,ChatGPT 效能更新,"We're excited to announce several updates to ChatGPT! Here's what's new: 1. General performance: Among other improvements, users will notice that ChatGPT is now less likely to refuse to answer questions.",OpenAI 於 2022-12-15 為 ChatGPT 更新模型或體驗；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,2,update,active,Model Mountains,1,^,peak,258,341,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""models_reasoning"",""model_update"",""ChatGPT model"",""chatgpt"",""model-update"",""performance""]"
evt-20221215-daily-message-cap-experiment,2022-12-15,2022,Q4,15,Research Preview,chatgpt_core,ChatGPT Usage Limits,pricing_quota,Daily message-cap experiment,每日訊息上限實驗,"OpenAI began testing a daily ChatGPT message cap for some users, with extended access available in exchange for feedback.",OpenAI 對部分使用者測試 ChatGPT 每日訊息上限，並提供以回饋換取延長使用的選項。,2,update,research_preview,Origin Plaza,0,@,home,258,174,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""chatgpt_core"",""pricing_quota"",""ChatGPT Usage Limits"",""chatgpt"",""usage-limit"",""experiment""]"
evt-20230201-introducing-chatgpt-plus,2023-02-01,2023,Q1,63,Research Preview,chatgpt_core,ChatGPT Plus,launch,Introducing ChatGPT Plus,推出 ChatGPT Plus,"OpenAI announced a $20-per-month ChatGPT plan with peak-time access, faster responses, and priority access to new features.",OpenAI 宣布每月 20 美元的 ChatGPT 方案，提供尖峰時段存取、更快回覆與新功能優先使用權。,5,landmark,active,Origin Plaza,0,@,home,381,188,Introducing ChatGPT Plus,https://openai.com/index/chatgpt-plus/,launch_post,complete,high,"[""chatgpt_core"",""launch"",""ChatGPT Plus"",""chatgpt"",""plus"",""subscription"",""pricing""]"
evt-20230209-introducing-chatgpt-plus,2023-02-09,2023,Q1,71,Research Preview,chatgpt_core,ChatGPT Plus,pricing_quota,Introducing ChatGPT Plus,推出ChatGPT Plus,"As we recently announced, our Plus plan comes with early access to new, experimental features. We are beginning to roll out a way for Plus users the ability to choose between different versions of ChatGPT: Default: the standard ChatGPT model",OpenAI 於 2023-02-09 為 ChatGPT Plus 調整方案、額度或計費；此節點依官方發布記錄整理，完整能力、適用方案與限制請見來源。,3,update,active,Origin Plaza,0,@,home,401,188,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""chatgpt_core"",""pricing_quota"",""ChatGPT Plus""]"
evt-20230213-faster-turbo-becomes-the-plus-default,2023-02-13,2023,Q1,75,Research Preview,models_reasoning,ChatGPT Turbo,availability,Faster Turbo becomes the Plus default,較快的 Turbo 成為 Plus 預設,OpenAI made the faster model formerly called Turbo the default for Plus users while temporarily retaining the prior version.,OpenAI 將先前稱為 Turbo 的較快模型設為 Plus 預設，同時暫時保留舊版本。,3,update,general_availability,Model Mountains,1,^,peak,411,340,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,parsed,high,"[""models_reasoning"",""availability"",""ChatGPT Turbo"",""chatgpt"",""turbo"",""plus"",""default-model""]"
evt-20230301-gpt-3-5-turbo-and-whisper-apis,2023-03-01,2023,Q1,91,Research Preview,developer_platform,OpenAI API Platform,launch,GPT-3.5 Turbo and Whisper APIs,GPT‑3.5 Turbo 與 Whisper API,"GPT‑3.5 Turbo and Whisper became available through the OpenAI API, adding chat-oriented language generation and hosted speech-to-text.",GPT‑3.5 Turbo 與 Whisper 正式進入 OpenAI API，帶來聊天式生成與託管語音轉文字。,4,major,active,Toolsmith Harbor,3,#,terminal,452,644,Introducing APIs for GPT-3.5 Turbo and Whisper,https://openai.com/index/introducing-chatgpt-and-whisper-apis/,official_launch_post,parsed,high,"[""developer_platform"",""launch"",""OpenAI API Platform"",""api"",""gpt-3.5"",""whisper""]"
evt-20230314-gpt-4-launches-in-chatgpt-plus,2023-03-14,2023,Q1,104,Platform Expansion,models_reasoning,GPT-4,model_release,GPT-4 launches in ChatGPT Plus,GPT-4 登陸 ChatGPT Plus,"OpenAI released GPT-4, a large multimodal model with stronger reasoning and instruction following, and made it available to ChatGPT Plus subscribers.",OpenAI 發布具更強推理與指令遵循能力的大型多模態模型 GPT-4，並向 ChatGPT Plus 訂閱者開放。,5,landmark,active,Model Mountains,1,^,peak,485,322,GPT-4,https://openai.com/index/gpt-4-research/,model_release_post,corroborated,high,"[""models_reasoning"",""model_release"",""GPT-4"",""gpt-4"",""chatgpt-plus"",""multimodal"",""reasoning""]"
evt-20230320-codex-models-deprecation,2023-03-20,2023,Q1,110,Platform Expansion,safety_lifecycle,Model Platform,deprecation,Codex models deprecation,Codex models 棄用公告,Schedule/replacements: 2023-03-23 code-davinci-002 gpt-4o; 2023-03-23 code-davinci-001 gpt-4o; 2023-03-23 code-cushman-002 gpt-4o; 2023-03-23 code-cushman-001 gpt-4o,OpenAI 於 2023-03-20 公告 Codex models 的棄用或下線時程，並列出替代方案與遷移方向。,4,major,deprecated,Safety Wall,9,!,shield,501,1514,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2023-03-20-codex-models,official_deprecation_registry,complete,high,"[""safety_lifecycle"",""deprecation"",""Model Platform"",""api"",""model-platform""]"
