source_id,title,url_or_path,source_type,published_at,retrieved_at,quality_score,used_for_claims,notes
api-changelog,OpenAI API Changelog,https://platform.openai.com/docs/changelog,developer_changelog,,2026-07-13T08:26:32.836Z,5,C002 | C004 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/api-changelog.md
api-deprecations,OpenAI API Deprecations,https://platform.openai.com/docs/deprecations,developer_deprecations,,2026-07-13T08:26:32.836Z,5,C002 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/api-deprecations.md
apps-sdk-changelog,Apps SDK Changelog,https://developers.openai.com/apps-sdk/changelog/,developer_changelog,,2026-07-13T08:26:32.836Z,5,C002 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/apps-sdk-changelog.md
atlas-release-notes,ChatGPT Atlas — Release Notes,https://help.openai.com/en/articles/12591856-chatgpt-atlas-release-notes,help_center_release_notes,,2026-07-13T08:26:32.836Z,5,C002 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/atlas-release-notes.md
business-release-notes,ChatGPT Business — Release Notes,https://help.openai.com/en/articles/11391654-chatgpt-business-release-notes,help_center_release_notes,,2026-07-13T08:26:32.836Z,5,C002 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/business-release-notes.md
chatgpt-agent-release-notes,ChatGPT agent — Release Notes,https://help.openai.com/en/articles/11794368-chatgpt-agent-release-notes,help_center_release_notes,,2026-07-13T08:26:32.836Z,5,C002 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/chatgpt-agent-release-notes.md
chatgpt-release-notes,ChatGPT — Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,help_center_release_notes,,2026-07-13T08:26:32.836Z,5,C002 | C003 | C004 | C005 | C006 | C007,research/openai-timeline-v0.1/source-snapshots/chatgpt-release-notes.md
chatgpt-work-and-codex,ChatGPT Work and Codex,https://help.openai.com/en/articles/20001275-chatgpt-work-and-codex,official_product_guide,,2026-07-13T08:26:32.836Z,5,C002 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/chatgpt-work-and-codex.md
codex-changelog,Codex Changelog,https://developers.openai.com/codex/changelog/,developer_changelog,,2026-07-13T08:26:32.836Z,5,C002 | C004 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/codex-changelog.md
enterprise-edu-release-notes,ChatGPT Enterprise & Edu — Release Notes,https://help.openai.com/en/articles/10128477-chatgpt-enterprise-edu-release-notes,help_center_release_notes,,2026-07-13T08:26:32.836Z,5,C002 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/enterprise-edu-release-notes.md
introducing-chatgpt,Introducing ChatGPT,https://openai.com/index/chatgpt/,official_launch_post,,2026-07-13T08:26:32.836Z,5,C001 | C002 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/introducing-chatgpt.md
macos-release-notes,ChatGPT macOS app release notes,https://help.openai.com/en/articles/9703738-desktop-app-release-notes,help_center_release_notes,,2026-07-13T08:26:32.836Z,5,C002 | C005 | C006,research/openai-timeline-v0.1/source-snapshots/macos-release-notes.md
model-release-notes,Model Release Notes,https://help.openai.com/en/articles/9624314-model-release-notes,help_center_release_notes,,2026-07-13T08:26:32.836Z,5,C002 | C003 | C004 | C005 | C006 | C007,research/openai-timeline-v0.1/source-snapshots/model-release-notes.md
official-developers-openai-com-api-docs-changelog,OpenAI API Changelog,https://developers.openai.com/api/docs/changelog,official_changelog,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2023-03-20-codex-models,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2023-03-20-codex-models,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2023-06-13-updated-chat-models,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2023-06-13-updated-chat-models,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2023-07-06-gpt-and-embeddings,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2023-07-06-gpt-and-embeddings,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2023-08-22-fine-tunes-endpoint,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2023-08-22-fine-tunes-endpoint,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2023-11-06-chat-model-updates,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2023-11-06-chat-model-updates,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2024-06-06-gpt-4-32k-and-vision-prev,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2024-06-06-gpt-4-32k-and-vision-preview-models,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
official-developers-openai-com-api-docs-deprecations-2024-08-29-fine-tuning-training-on-b,OpenAI API Deprecations,https://developers.openai.com/api/docs/deprecations#2024-08-29-fine-tuning-training-on-babbage-002-and-davinci-002-models,official_deprecation_registry,,2026-07-13,5,C005 | C006,lane extraction; see lane-results
